Row ID,Order Priority,Discount,Unit Price,Shipping Cost,Customer ID,Customer Name,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Region,State or Province,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID,Location 1
"24,565",Critical,0.1,85.99,0.99,6,Dwight Hwang,Regular Air,Home Office,Technology,Telephones and Communication,Wrap Bag,Accessory34,0.55,West,California,"95,123",12/29/2012 0:00,12/31/2012 0:00,"1,176.51",24,"1,705.08","90,200","San Jose, California 95123
(37.24689419600048, -121.83522851399971)"
"20,877",Medium,0.1,286.85,61.76,9,Lorraine Houston,Delivery Truck,Home Office,Furniture,Tables,Jumbo Box,Riverside Furniture Stanwyck Manor Table Series,0.78,East,New Jersey,"8,101",12/25/2012 0:00,12/27/2012 0:00,-346.6151975,8,"1,794.27","90,199","Camden, New Jersey 8101
(39.94591167800047, -75.12237853399967)"
"20,228",Not Specified,0.02,500.98,26,5,Ronnie Proctor,Delivery Truck,Home Office,Furniture,Chairs & Chairmats,Jumbo Drum,Global Troy™ Executive Leather Low-Back Tilter,0.6,West,California,"91,776",12/13/2010 0:00,12/15/2010 0:00,"4,390.37",12,"6,362.85","90,193","San Gabriel, California 91776
(34.08980016500044, -118.09671626199969)"
"20,876",Medium,0.08,140.98,36.09,8,Melanie Garner,Delivery Truck,Home Office,Furniture,Bookcases,Jumbo Box,"Sauder Forest Hills Library, Woodland Oak Finish",0.77,East,New Hampshire,"3,110",12/25/2012 0:00,12/26/2012 0:00,-158.74,5,705.47,"90,199","Bedford, New Hampshire 3110
(42.94391333200048, -71.51243933899963)"
"23,597",Medium,0.09,55.48,14.3,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 194,0.37,West,Washington,"98,221",11/9/2011 0:00,11/11/2011 0:00,"1,388.05",37,"2,011.67","88,524","Anacortes, Washington 98221
(48.494918559000496, -122.62769668699968)"
"19,483",Low,0.08,6.48,6.81,5,Ronnie Proctor,Regular Air,Home Office,Office Supplies,Paper,Small Box,Xerox 1930,0.36,West,California,"91,776",5/12/2012 0:00,5/21/2012 0:00,-141.26,18,113.25,"90,197","San Gabriel, California 91776
(34.08980016500044, -118.09671626199969)"
"23,086",Not Specified,0.03,6.68,6.15,3,Bonnie Potter,Express Air,Corporate,Office Supplies,Paper,Small Box,Xerox 1968,0.37,West,Washington,"98,221",7/27/2011 0:00,7/28/2011 0:00,-47.64,7,49.92,"88,523","Anacortes, Washington 98221
(48.494918559000496, -122.62769668699968)"
"22,241",Critical,0.06,15.57,1.39,10,Meredith Norris Thomas,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,Park Ridge™ Embossed Executive Business Envelopes,0.38,East,New Jersey,"8,109",10/4/2011 0:00,10/5/2011 0:00,142.7955,14,206.95,"90,195","Pennsauken, New Jersey 8109
(39.94905311700046, -75.05102919899963)"
"21,776",Critical,0.06,9.48,7.29,11,Marcus Dunlap,Regular Air,Home Office,Furniture,Office Furnishings,Small Pack,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",0.45,East,New Jersey,"7,203",8/15/2010 0:00,8/17/2010 0:00,-53.8096,22,211.15,"90,192","Roselle, New Jersey 7203
(40.653673969000465, -74.25897814599966)"
"24,782",High,0.01,90.24,0.99,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Appliances,Small Box,Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center,0.56,West,California,"95,123",5/26/2011 0:00,5/26/2011 0:00,"1,045.47",16,"1,515.17","90,194","San Jose, California 95123
(37.24689419600048, -121.83522851399971)"
"23,088",Not Specified,0,205.99,2.5,3,Bonnie Potter,Express Air,Corporate,Technology,Telephones and Communication,Small Box,V70,0.59,West,Washington,"98,221",7/27/2011 0:00,7/27/2011 0:00,998.2023,8,"1,446.67","88,523","Anacortes, Washington 98221
(48.494918559000496, -122.62769668699968)"
"18,606",Not Specified,0.01,2.88,0.5,2,Janice Fletcher,Regular Air,Corporate,Office Supplies,Labels,Small Box,Avery 49,0.36,Central,Illinois,"60,101",5/28/2012 0:00,5/30/2012 0:00,1.32,2,5.9,"88,525","Addison, Illinois 60101
(41.93158353600046, -88.00875673999968)"
"24,564",Critical,0.01,4.84,0.71,6,Dwight Hwang,Regular Air,Home Office,Office Supplies,Pens & Art Supplies,Wrap Bag,*Staples* Highlighting Markers,0.52,West,California,"95,123",12/29/2012 0:00,12/31/2012 0:00,57.5805,17,83.45,"90,200","San Jose, California 95123
(37.24689419600048, -121.83522851399971)"
"24,848",Medium,0.05,3.58,1.63,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Rubber Bands,Wrap Bag,"OIC Colored Binder Clips, Assorted Sizes",0.36,Central,Minnesota,"55,372",5/12/2010 0:00,5/13/2010 0:00,-0.71,4,14.26,"86,838","Prior Lake, Minnesota 55372
(44.703749185000504, -93.4173370319997)"
"24,846",Medium,0.08,3.28,2.31,14,Gwendolyn F Tyson,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 321,0.56,Central,Minnesota,"55,372",5/12/2010 0:00,5/13/2010 0:00,-24.03,7,22.23,"86,838","Prior Lake, Minnesota 55372
(44.703749185000504, -93.4173370319997)"
"22,781",Low,0,7.59,4,15,Timothy Reese,Regular Air,Small Business,Furniture,Office Furnishings,Wrap Bag,"Master Giant Foot® Doorstop, Safety Yellow",0.42,East,New York,"11,787",1/19/2013 0:00,1/21/2013 0:00,23.2668,4,33.72,"86,842","Smithtown, New York 11787
(40.85279253600049, -73.20515789199965)"
"23,890",High,0.05,26.48,6.93,18,Laurie Hanna,Regular Air,Small Business,Furniture,Office Furnishings,Small Box,DAX Natural Wood-Tone Poster Frame,0.49,West,Montana,"59,601",5/15/2010 0:00,5/16/2010 0:00,314.4813,17,455.77,"90,031","Helena, Montana 59601
(46.591719250000494, -112.03440816799969)"
